标题,关键字
基于SSH框架的钢厂库存管理系统的分析和设计,"['库存管理', 'SSH', '分层设计', '面向接口编程']"
电务设备管理系统的设计与实现,"['铁路电务设备', '信息化管理', '故障预测', '径路图', '配线表']"
法官审判业绩评价系统的设计与实现,"['业绩考评', 'Spring框架', 'Hibernate框架', 'Vue.js框架']"
法院文书制作系统的设计与实现,"['文书', 'RPC服务架构', 'Dubbo框架', 'Zookeeper框架', 'Spring框架', 'Hibernate框架']"
基于Spring Boot的在线文献管理系统的设计与实现,"['文献管理系统', 'MVC模式', 'Spring框架', 'Spring MVC框架', 'SpringBoot 框架', 'Hibernate 框架']"
案件评查系统的设计与实现,"['案件评查', 'MVC模式', 'Spring框架', 'SpringBoot框架', 'Vue框架', 'Hibernate 框架']"
法院信访系统的来信子系统的设计与实现,"['来信', 'B/S 模式', 'SpringMVC 框架', 'Hibernate 框架', 'Lucene']"
天津法院办公办案平台统一认证登录系统的设计与实现,"['统一认证', '前后端分离', 'SpringBoot框架', 'AngularJS框架']"
法院信访来访系统的设计与实现,"['信访', 'MVC模式', 'Spring框架', 'SpringMVC框架', 'Ehcache', 'Hibernate框架']"
密钥管理服务的设计与实现,"['RESTful 架构', 'SpringMVC 框架', 'Spring 框架', 'MyBatis 框架', '密钥']"
基于Spring框架的Web应用轻量级3S解决方案,"['三层架构', 'Spring框架', '轻量级3S方案', '正确可行', '系统性能']"
金融服务系统的设计与实现,"['互联网金融', 'Spring 框架', 'Vue.js', 'RESTful', 'MangoDB']"
分布式链路跟踪系统的设计与实现,"['分布式', '微服务', '链路跟踪', 'ElasticSearch', 'Spring框架']"
钢铁企业OA系统的设计与应用,"['钢铁企业', 'OA系统', 'B/S架构', '运行管理', '工作流']"
基于J2EE的社区民生通道服务工作平台分析与设计,"['民生通道', '信息系统', 'J2EE']"
泵站监测及优化调度系统的设计与实现,"['管理系统', '泵站监测', '泵站优化', 'SSM框架']"
自动分案系统的设计与实现,"['自动分案', 'MVC模式', 'Spring框架', 'SpringBoot框架', 'SpringMVC框架', 'Hibernate框架', 'Dubbo框架']"
基于J2EE的水务管理信息系统设计与实现,"['水务管理', 'J2EE', 'Activiti', '天地图', '工作流引擎']"
基于改进RBM的商品推荐系统设计与实现,"['信息过载', '推荐系统', '协同过滤', 'RBM']"
基于Spring MVC框架的图片视频库系统的设计与实现,"['图片', '视频', 'Spring MVC', 'iBatis']"
基于网络爬虫的信息采集技术研究,"['Heritrix', '信息抽取', '信息采集', 'lucene', 'Htmlparser']"
基于SSH框架模式的博客系统的设计与实现,"['博客系统', 'Struts2', 'Spring', 'Hibernate', 'B/S结构']"
学术成果信息管理与应用系统的设计与实现,"['学术成果', '统计成果', '图表展示']"
电子卷宗系统的设计与实现,"['电子卷宗', 'MVC模式', 'SpringMVC框架', 'Hibernate框架', 'Spring框架']"
基于推荐算法的众测协同模块的设计与实现,"['众包', '软件测试', 'Spring框架', '推荐算法']"
司法调研管理系统的设计与实现,"['司法调研', 'MVC模式', 'AugularJs框架', 'Spring框架', 'SpringBoot框架', 'SpringMVC 框架', 'MyBatis 框架']"
基于Spring Boot技术的天津法院报表分析系统的设计与实现,"['报表', 'Spring Boot 框架', 'Spring MVC 框架', 'Hibernate 框架']"
基于SpringBoot和Vue框架的电子招投标系统的设计与实现,"['招投标系统', 'SpringBoot框架', 'Vue框架', 'Mybatis框架', 'Shiro', 'Activiti工作流']"
基于JavaEE的职员能力管理系统的设计与实现,"['职员能力管理系统', 'Spring Boot框架', 'MyBatis框架']"
丰收O2O系统销售子系统的设计与实现,"['O2O系统', '电商系统', 'SOA架构', 'Spring框架']"
基于企业IPM管理系统的案件批量处理优化设计,"['知识产权管理', 'IPM管理系统', '提案管理', '专利管理', 'Spring框架']"
烟叶储存安全监测系统的设计与实现,"['烟叶储存安全监测', 'Web Service', '遗传算法', 'BP神经网络']"
注塑MES平板端系统的设计与实现,"['SSM', 'MES', '注塑机', 'Java']"
浅谈注塑MES平板端系统的设计与实现,"['MES', 'SSM', 'Web']"
基于合作银行信贷业务的现金贷交易管理系统设计与实现,"['现金贷', '贷款管理', 'Java EE', 'Spring框架']"
基于云平台的眼科影像存储与管理系统的设计与实现,"['PACS', '云平台', '眼科', 'OCT', '分布式']"
基于Java Web的就业信息管理系统设计与实现,"['Spring框架', '就业管理', '招聘管理']"
气动系统远程无线监控网络的研究与实现,"['远程监控系统', 'B/S模式', '服务平台', 'Android平台']"
师生关系识别与可视化系统设计与实现,"['大数据处理', '师生关系识别', '数据可视化']"
工作流在企业环境微生物检测中的应用,"['工作流', '企业环境微生物检测流程', '信息共享', 'Struts框架', 'Spring框架']"
SpringBoot框架在web应用开发中的探讨,"['Spring Boot', '开箱即用', '约定优于配置', '技术架构']"
基于SSH的地税税务管理系统的设计与实现,"['纳税管理', '税务登记', 'UML建模']"
基于文本挖掘的用户画像系统的设计与实现,"['用户画像', '文本挖掘', '主题模型', '文本分类']"
集装箱接驳运输建模与优化实验平台的设计与实现,"['集装箱接驳', '优化', '实验平台', 'SSM框架', '主动禁忌搜索']"
一种用于高并发场景的图像处理集群系统的设计与实现,"['软件工程', 'Java', '远程过程调用', '集群', '图像处理']"
基于SSM框架的热计量服务平台设计与实现,"['热计量平台', 'SSM框架', 'OSGI']"
基于WEB服务的高压直流输电基础设计软件的架构,"['WEB服务', '高压直流输电', '基础设计软件', 'MVC设计模式', 'Spring MVC框架', 'Hibernate框架', 'My Batis框架', 'Spring框架']"
基于Spring框架的研究与设计,"['Web', 'Spring', 'IOC']"
基于个性化推荐算法的多终端微型课程平台设计与实现,"['个性化推荐', '多终端', '微课平台', '实现']"
Java web软件开发框架技术介绍,"['Java web', '软件开发', '框架技术', '介绍']"
机器学习管理平台的研究与实现,"['机器学习', '管理平台', 'SSH', 'MVC', 'Maven', 'JAVA EE']"
基于寿险的电子商务系统后台服务设计与实现,"['保险', '分布式服务', '电商平台']"
产业与人才公共服务平台的设计与实现,"['公共服务平台', '关键词提取', '朴素贝叶斯', 'TF-IDF', 'Spring框架']"
基于Web的智能建筑电气监控系统设计与实现,"['智能建筑', '监控系统', 'L-N总线', 'JSP']"
微信订单系统设计与实现,"['微信', '二维码', '订单', 'Spring框架', 'JSON', 'Ice框架']"
J2EE架构下基于Web的信息管理系统框架研究,"['J2EE架构', '管理系统', '框架设计']"
关于Java编程特点及其技术分析,"['Java', '编程特点', '技术']"
基于Java EE应用的车辆管理系统的设计,"['Spring MVC', 'Hibernate', 'Java EE', 'GPS信息']"
基于J2EE框架期刊采编系统设计与实现,"['学术期刊', '采编系统', 'J2EE', 'MVC', '数字化出版']"
面向小学校园的图书分享管理系统的设计与实现,"['图书分享', 'Spring框架', '数据持久化', '权限管理', '应用系统']"
基于J2EE的某高校毕业生就业管理系统的设计与实现,"['就业管理', 'B/S模式', 'J2EE', 'SSH框架']"
基于Spring的存量房批量评估系统的研究与实现,"['存量房评估', '税收征管', '申报评估', 'Spring框架', 'Hibernate框架']"
基于Spring框架全媒体资产管理系统的设计与实现,"['媒体资源', '资产管理', 'Spring框架']"
基于SSH的学生成绩信息管理系统的设计与分析,"['学生成绩信息管理', 'Browser/Server结构', 'MYSQL数据库', '设计与分析']"
基于Spring框架的智能建筑综合管理系统的设计研究,"['智能建筑监控约束', 'Spring框架', 'Spring框架逻辑']"
基于JavaEE技术的网上商城管理系统的设计与实现,"['网上商城', 'JavaEE体系', 'MySQL数据库']"
Java Web应用框架研究与应用,"['Struts2', 'Hibernate', 'Spring', '控制反转', '面向切面编程']"
轻量级规则引擎Drools在物联网平台中的应用研究,"['MQTT', 'Drools', '逻辑业务', '监控规则', '物联网平台']"
电子商务专业Web程序设计课程体系研究与实践,"['电子商务', '程序设计', '课程体系']"
高校科研信息管理系统的设计与实施以北京青年政治学院为例,"['科研管理', '框架技术', '信息系统']"
便携式卫星地球站大数据采集系统的研究与设计,"['便携式卫星地球站', '大数据', '数据采集', '数据处理']"
基于SSM框架的高校在线考试系统研究,"['SSM技术', '在线考试系统', '系统设计']"
基于Quartz的某银行信贷流程批处理系统的设计与实现,"['Quartz', '多时区', '批处理系统']"
基于BS架构的企业客户信息管理系统设计与实现,"['客户信息管理', 'UML', 'B/S架构']"
科技项目综合管理服务平台的设计与实现,"['科技项目', '软件工程', '系统分析与设计', '系统架构']"
基于微信平台的高职院校教学系统的设计与实现,"['微信平台', '教学管理', 'MVC架构']"
基于策略模式和Spring框架的银行代缴费系统的研究,"['策略模式', 'Spring框架']"
Java SSH框架在Java Web中的应用,"['SSH框架', 'Java技术', 'Web开发', '应用']"
基于微信的垂直社交系统设计与实现,"['社交网络', '垂直社交', '信息系统', 'JAVA实现']"
知识产权信息管理系统的设计与实现,"['知识产权', '信息管理', '三层架构']"
基于ZigBee技术的家电微信控制系统设计,"['ZigBee技术', '嵌入式开发', '微信公众平台', '智能家居']"
基于JavaWeb的匿名社交软件的设计,"['web端', '隐私', 'Spring框架', '匿名社交']"
基于S2SH架构的教学质量评价系统设计与实现,"['MVC', 'S2SH框架', '教学质量', '评价系统']"
众筹模式下的电商转让与撮合交易平台设计与实现,"['互联网金融', '电商转让', '众筹模式', '撮合交易']"
基于StrutsHibernateSpring的高校毕业设计论文管理系统的设计与实现,"['毕业论文', '管理系统', 'Struts', 'Hibernate', 'Spring']"
基于BS结构测震设备信息管理系统分析,"['测震设备', 'B/S结构', 'JavaEE', 'jQuery', 'Spring框架']"
集成SSH与Shiro的商城后台管理功能的设计与实现,"['后台管理', 'Struts2框架', 'Hibernate框架', 'Spring框架', 'Shiro框架']"
面向微服务的公共事业信息服务开放平台的设计与实现,"['微服务', '公共事业服务', 'API', 'Web服务', '开放平台', '支付插件']"
基于Java的农村电子商务系统的设计与实现,"['农村电子商务', 'Java开发语言', 'Spring框架', 'SpringMVC框架', '持久层框架', 'SQL Server 2008']"
基于开源GIS技术的新疆渔业资源数据平台设计与开发,"['水生生态及鱼类科学数据', '科学数据规范标准', '开源GIS', 'J2EE', 'WebGIS']"
基于REST架构的自助打印系统的设计与实现,"['REST架构风格', '自助打印', '移动终端']"
基于心电动力学图的远程心肌缺血检测系统的设计与实现,"['心肌缺血', '远程医疗', '安卓', '确定学习', '心电动力学图']"
基于C2M模式的PCB定制服务平台的设计与实现,"['PCB', 'SSM框架', '在线定制', '智能报价']"
基于MVC的P2P网络借贷系统的设计与实现,"['P2P网络借贷', 'MVC模式', 'Spring框架', 'Mybatis框架']"
基于SSM框架游戏玩家交流平台设计与实现,"['卡牌识别', 'Lucene全文检索', 'SSM', 'Memcached', '稿件去重', 'LCS']"
基于Spring MVC的亚马逊物流信息平台的设计与实现,"['物流管理', 'Spring框架', '亚马逊云服务']"
实习实训管理系统的设计与实现,"['管理系统', '实习实训', 'Java', 'Spring框架']"
报表管理系统的设计与实现,"['报表管理系统', '多维度分析', '报表展示']"
到店餐饮在线预订管理系统的设计与开发,"['Spring MVC', '供应链', '预订管理', '方案合同', '数据同步']"
高等学校云课程平台设计与实现,"['在线教育', '云课程平台', 'Spring MVC', '翻转课堂']"
基于BS架构的酒店结算系统的设计与实现,"['酒店结算', 'B/S架构', 'MySQL', 'Spring', '分布式架构']"
面向离散制造的质量成本控制系统研究和实现,"['质量成本', '回归分析法', '复杂事件处理', 'J2EE']"
基于SSH的企业生产设备管理系统的设计与实现,"['企业运维', 'SSH技术', '设备管理']"
基于Spring的职业素养教学及测评管理系统的研究与实现,"['Spring', 'MVC', '职业素养教学及测评管理系统']"
